LID,Inspection_Date,Inspection_Result,RID
11,2023-12-02,Fail,345
12,2023-05-13,Pass,358
13,2023-03-15,Fail,334
14,2024-03-22,Pass,315
15,2024-04-20,Pass,215
16,2023-11-16,Pass,241
17,2023-04-21,Pass,105
18,2024-04-10,Pass,66
19,2024-03-28,Pass,101
20,2024-04-12,Pass,171
21,2023-12-31,Fail,237
22,2024-02-22,Fail,244
23,2023-09-20,Pass,270
24,2023-12-09,Pass,311
25,2024-03-15,Fail,166
26,2023-05-02,Pass,176
27,2023-07-03,Pass,99
28,2023-08-21,Pass,233
29,2023-05-21,Fail,190
30,2024-02-13,Pass,293
31,2024-01-10,Fail,382
32,2023-09-10,Fail,355
33,2023-05-28,Fail,62
34,2023-10-21,Fail,348
35,2023-01-21,Fail,189
36,2024-03-29,Pass,269
37,2023-02-04,Fail,300
38,2024-04-19,Fail,173
39,2024-02-18,Fail,209
40,2023-07-16,Fail,138
41,2024-01-25,Fail,209
42,2024-03-15,Fail,286
43,2024-02-22,Fail,61
44,2024-02-02,Fail,46
45,2024-01-03,Pass,122
46,2023-05-04,Pass,294
47,2023-04-04,Pass,129
48,2023-09-03,Fail,59
49,2024-03-30,Fail,366
50,2023-06-06,Pass,51
51,2024-02-09,Pass,69
52,2023-09-11,Pass,96
53,2023-05-03,Fail,245
54,2023-06-01,Pass,78
55,2023-02-10,Pass,210
56,2023-01-02,Fail,39
57,2023-05-04,Fail,3
58,2023-06-28,Fail,283
59,2023-10-04,Fail,186
60,2023-03-22,Pass,393
61,2023-04-15,Fail,124
62,2023-04-17,Pass,113
63,2023-04-09,Fail,8
64,2024-04-17,Fail,142
65,2023-12-30,Pass,205
66,2023-01-10,Pass,257
67,2023-09-02,Pass,103
68,2023-05-21,Fail,80
69,2023-05-09,Fail,18
70,2023-12-26,Pass,29
71,2024-05-16,Fail,206
72,2024-03-25,Fail,75
73,2024-01-02,Fail,205
74,2023-06-17,Fail,52
75,2023-02-03,Fail,200
76,2023-12-18,Pass,13
77,2024-05-15,Pass,337
78,2023-03-14,Pass,62
79,2023-10-06,Pass,188
80,2024-05-14,Pass,19
81,2023-07-15,Fail,377
82,2023-03-15,Pass,172
83,2023-06-15,Fail,280
84,2023-04-30,Fail,218
85,2023-11-11,Fail,6
86,2024-03-23,Pass,304
87,2024-04-03,Fail,53
88,2023-11-29,Pass,22
89,2023-05-17,Pass,280
90,2023-03-23,Fail,228
91,2023-04-26,Fail,281
92,2023-06-12,Fail,264
93,2023-07-11,Fail,9
94,2023-06-15,Pass,339
95,2023-01-10,Fail,278
96,2024-05-02,Fail,383
97,2024-02-25,Pass,256
98,2023-12-07,Pass,319
99,2024-02-26,Fail,267
100,2023-06-03,Fail,388
101,2023-12-01,Pass,46
102,2023-10-11,Pass,243
103,2023-11-08,Pass,231
104,2023-12-17,Pass,352
105,2023-10-04,Fail,77
106,2023-03-02,Fail,178
107,2024-01-10,Fail,188
108,2023-06-09,Pass,9
109,2024-03-19,Fail,143
110,2023-04-18,Pass,214
111,2023-09-26,Fail,264
112,2023-11-12,Pass,366
113,2024-02-22,Pass,75
114,2024-03-14,Fail,362
115,2023-08-15,Fail,183
116,2024-03-04,Fail,163
117,2023-04-12,Pass,189
118,2023-11-13,Fail,8
119,2023-09-03,Fail,218
120,2023-12-15,Fail,374
121,2023-05-18,Fail,143
122,2024-01-10,Pass,32
123,2023-05-13,Fail,248
124,2023-07-13,Fail,211
125,2023-11-03,Fail,191
126,2023-10-28,Fail,277
127,2023-09-03,Fail,373
128,2023-02-11,Pass,122
129,2023-07-09,Pass,149
130,2023-12-26,Pass,362
131,2023-10-21,Fail,119
132,2024-02-25,Fail,46
133,2023-08-04,Fail,213
134,2023-09-11,Pass,346
135,2023-09-07,Fail,321
136,2023-10-09,Fail,383
137,2023-04-28,Fail,281
138,2023-06-20,Fail,215
139,2023-11-05,Pass,221
140,2024-04-23,Fail,396
141,2023-12-08,Fail,155
142,2023-04-30,Pass,300
143,2024-04-14,Pass,229
144,2023-08-10,Fail,224
145,2024-04-03,Pass,333
146,2023-12-21,Pass,30
147,2023-08-05,Pass,282
148,2023-01-14,Pass,33
149,2024-05-08,Pass,319
150,2024-02-22,Fail,66
151,2023-08-06,Pass,356
152,2023-02-16,Fail,310
153,2023-04-11,Pass,168
154,2024-03-01,Fail,251
155,2023-04-03,Fail,127
156,2023-03-20,Pass,299
157,2024-03-17,Fail,38
158,2023-10-01,Fail,169
159,2024-02-22,Fail,36
160,2023-01-05,Fail,189
161,2023-05-17,Fail,321
162,2024-02-25,Pass,190
163,2023-08-19,Pass,201
164,2023-04-06,Pass,330
165,2023-10-16,Fail,365
166,2024-02-28,Pass,95
167,2023-03-27,Fail,300
168,2023-05-12,Pass,315
169,2023-01-16,Fail,118
170,2023-03-02,Fail,78
171,2024-02-19,Fail,189
172,2024-04-14,Pass,209
173,2023-12-14,Pass,131
174,2023-09-18,Pass,209
175,2023-09-14,Fail,259
176,2024-02-24,Pass,256
177,2023-06-04,Fail,89
178,2023-10-13,Fail,291
179,2024-05-17,Pass,217
180,2023-08-02,Pass,205
181,2023-11-26,Pass,63
182,2024-03-16,Fail,157
183,2023-11-22,Pass,254
184,2024-05-02,Pass,330
185,2023-10-05,Fail,151
186,2023-06-28,Fail,176
187,2023-12-15,Pass,327
188,2024-03-02,Fail,260
189,2024-05-15,Fail,67
190,2023-07-06,Fail,16
191,2023-02-06,Fail,324
192,2024-01-22,Pass,389
193,2023-02-12,Pass,360
194,2024-01-23,Fail,75
195,2024-03-30,Pass,164
196,2023-11-11,Fail,181
197,2024-05-23,Fail,203
198,2024-03-26,Fail,54
199,2023-07-13,Fail,211
200,2023-11-15,Fail,92
201,2023-06-13,Fail,191
202,2023-01-22,Pass,35
203,2023-11-24,Fail,57
204,2023-12-13,Pass,117
205,2023-01-06,Pass,128
206,2023-01-02,Pass,244
207,2023-03-23,Fail,107
208,2024-01-06,Fail,18
209,2023-11-16,Pass,107
210,2023-10-28,Fail,106
211,2024-03-09,Fail,156
212,2023-12-30,Fail,294
213,2023-12-21,Fail,95
214,2023-09-06,Fail,19
215,2024-03-21,Fail,50
216,2023-06-03,Fail,58
217,2024-03-13,Pass,14
218,2023-01-02,Pass,235
219,2023-10-19,Fail,263
220,2024-05-18,Fail,383
221,2023-04-18,Pass,124
222,2024-02-12,Fail,118
223,2023-09-04,Pass,10
224,2023-10-21,Fail,182
225,2023-03-23,Pass,306
226,2023-01-04,Pass,293
227,2023-08-29,Pass,81
228,2023-06-13,Pass,187
229,2023-02-12,Fail,38
230,2023-04-11,Pass,88
231,2023-12-23,Pass,244
232,2024-05-10,Pass,325
233,2023-07-27,Pass,205
234,2024-04-02,Pass,284
235,2024-02-20,Pass,12
236,2024-04-17,Fail,26
237,2023-07-01,Pass,148
